stop_id,stop_name,stop_lat,stop_lon
8507,Henderson & Hanson Access Rds,40.086985,-75.357485
8510,Henderson Rd & Shoemaker Rd,40.081557,-75.356757
8521,Henry Av & Crease Ln,40.047065,-75.218007
8528,Henry Av & Heritage St,40.039443,-75.213323
8543,Henry Av & Seffert St - FS,40.059402,-75.235095
8545,Henry Av & Valley Av,40.044555,-75.21806
8546,Henry Av & Cheswick Rd - MBFS,40.055934,-75.23281
1599,Philadelphia Premium Outlets,40.23753,-75.571548
1594,Montgomery County Community College,40.244772,-75.655868
1603,Chestnut Hill Loop              ,40.077073,-75.208525
1606,Bethlehem Pk & Pennsylvania Av  ,40.137666,-75.212363
1608,Penllyn Railroad Station        ,40.169715,-75.243299
1611,West Point Pk & Morris Rd       ,40.199657,-75.304995
1622,Church Rd & Main St,40.236087,-75.275196
1620,Abramson Ctr for Jewish Life   ,40.221577,-75.209877
1617,Montgomery Mall,40.235159,-75.242856
1642,Renaissance Business Center     ,40.088839,-75.341061
1157,78th St & Lindbergh Blvd ,39.90369,-75.243342
997,Tinicum Blvd & 88th St,39.886302,-75.247457
2500,Stevens Dr & Airport Business Ctr,39.874629,-75.281649
2501,Stevens Dr & Airport Business Ctr,39.874521,-75.28087
2512,CTC6EB,39.849682,-75.36033
30580,10th Av & Church St,40.194064,-75.530406
30581,10th Av & Royersford Rd,40.19517,-75.531971
30582,Royersford Rd & 10th Av,40.195268,-75.532054
30583,10th & Main St,40.193235,-75.529528
30584,Valley Forge Rd & Kleyona Av,40.121461,-75.507542
2440,Chinatown Station,39.955251,-75.152782
2441,BROAD & FLAGSHIP DRIVE,39.90503,-75.173439
29388,Essington Av & 69th St,39.906417,-75.223838
2446,Millbourne Station,39.964275,-75.252314
2447,63rd St Station,39.962652,-75.246696
2347,Conchester Hwy & Baltimore Pk -MBFS,39.883543,-75.524557
2378,LEAVE 36TH & MARKET,39.956174,-75.194136
2635,Carpenter St & 15th St,39.939201,-75.168063
2449,56th St Station,39.960944,-75.2328
2461,York-Dauphin Station,39.986191,-75.132011
2462,Huntingdon Station,39.988759,-75.127463
2463,Tioga Station,40.000238,-75.106392
2660,16th St & Chestnut St ,39.951639,-75.167096
2661,17th St & Cambria St ,39.997613,-75.158787
2662,17th St & Cambria St - FS,39.997618,-75.158686
2755,19th St & Hamilton St,39.962126,-75.16968
2756,19th St & Jefferson St,39.976723,-75.166415
2759,19TH ST& JOHNSTON ST,39.916484,-75.179607
27509,North Wales Rd & Main St,40.228787,-75.262622
256,Roosevelt Blvd & 5th St - FS,40.024143,-75.133331
259,Hunting Park Av & Fox St ,40.007905,-75.172126
279,40th St & Filbert St,39.957947,-75.202031
289,Filbert St & 40th St,39.957777,-75.201831
30292,Girard Av & 34th St,39.974947,-75.196278
293,Malvern Av & Loop,39.98391,-75.246217
294,ISLAND AND WOODLND              ,39.917144,-75.246352
295,Darby Transportation Center,39.919031,-75.262365
326,Bustleton Av & Comly St - FS,40.029843,-75.073713
327,Roosevelt Blvd & Byberry Rd,40.106286,-74.998563
104,Oregon Av & 20th St ,39.918048,-75.180687
114,Tabor Rd & 5th St ,40.034731,-75.130721
115,Olney Transportation Center     ,40.038813,-75.143473
